year,area,country,Años de Estudio por Área - Hombres,Años de Estudio por Área - Mujeres,Años de Estudio por Área - Total,Brecha Alfabetismo H-M,NBI - Indigencia,NBI - Marginalidad,NBI - Necesidades Satisfechas,NBI - No Pobre Total,NBI - Población Referencia,NBI - Pobreza Moderada,NBI - Pobreza Total,NBI - Umbral Pobreza,NBI Tasa - Indigencia,NBI Tasa - Marginalidad,NBI Tasa - Pobreza Moderada,NBI Tasa - Pobreza Total,Población Alfabetismo - Hombres,Población Alfabetismo - Mujeres,Población Alfabetismo - Total,Población Estudio por Área - Hombres,Población Estudio por Área - Mujeres,Población Estudio por Área - Total,Población en Edad Escolar - Hombres,Población en Edad Escolar - Mujeres,Población en Edad Escolar - Total,Tasa Alfabetismo Hombres,Tasa Alfabetismo Mujeres,Tasa Alfabetismo Total,Tasa Asistencia Escolar - Hombres,Tasa Asistencia Escolar - Mujeres,Tasa Asistencia Escolar - Total
2001,Total,BOL,8.24854871552547,6.65080330250586,7.42863408671808,12.4030897196982,,,,,,,,,,,,,2469749.0,2577390.0,5047139.0,2109096.0,2223170.0,4332266.0,1442070.0,1387400.0,2829470.0,93.0574726419567,80.6543829222586,86.7236666158788,80.7874791098907,79.3086348565662,80.0623438311769
2001,Urbana,BOL,10.1045275478162,8.44973349423734,9.23087482356053,7.53289720172592,,,,,,,,,,,,,1547133.0,1715093.0,3262226.0,1313942.0,1469558.0,2783500.0,867350.0,860291.0,1727641.0,97.5185714479621,89.9856742462362,93.5582022827358,85.0784573701505,84.279040464215,84.6803820932705
2001,Rural,BOL,5.178574171801,3.13913096625296,4.18623383105162,23.4820498820199,,,,,,,,,,,,,922616.0,862297.0,1784913.0,795154.0,753612.0,1548766.0,574720.0,527109.0,1101829.0,85.5766646145309,62.0946147325109,74.2324135686165,74.3116648106904,71.1964698003639,72.8213724634222
2012,Total,BOL,9.52310917958563,8.40030536341977,8.9529059732344,5.22613910847303,896778.0,40938.0,2456704.0,5363140.0,9736516.0,3435660.0,4373376.0,2906436.0,9.21046090819344,0.420458406271812,35.2863385629932,44.9172578774584,3367022.0,3445620.0,6812642.0,2914692.0,3005179.0,5919871.0,1476236.0,1428367.0,2904603.0,97.5532384403785,92.3270993319054,94.9100216920249,86.9225516787289,87.3005327062303,87.1084275544713
2012,Urbana,BOL,10.9072897147412,9.78288620962102,10.3196266835668,3.12847818043774,150662.0,2246.0,2311097.0,4724443.0,6577835.0,1700484.0,1853392.0,2413346.0,2.29044966923007,0.0341449732320741,25.8517278101381,28.1763224526003,2237300.0,2426084.0,4663384.0,1938267.0,2119636.0,4057903.0,962467.0,948807.0,1911274.0,98.9615161131721,95.8330379327344,97.3339531979352,88.9953629578988,89.7547130238289,89.3723244286272
2012,Rural,BOL,6.7942677607397,5.11225201127175,5.99398993208288,10.779906012969,746116.0,38692.0,145607.0,638697.0,3158681.0,1735176.0,2519984.0,493090.0,23.6211254001275,1.22494167660489,54.9335624585072,79.7796295352396,1129722.0,1019536.0,2149258.0,976425.0,885543.0,1861968.0,513769.0,479560.0,993329.0,94.7642871432087,83.9843811302396,89.6506608327153,83.039459367926,82.4449495370757,82.7524415374966
2024,Total,BOL,10.9146263604104,10.2205086650035,10.5639613554963,4.39390427896883,395946.0,13028.0,3271870.0,7645603.0,10897216.0,2842639.0,3251613.0,4373733.0,3.63346014248043,0.119553471271929,26.085919559638,29.8389331733903,4050255.0,4111115.0,8161370.0,3636954.0,3713328.0,7350282.0,1511105.0,1451539.0,2962644.0,98.0766643087904,93.6827600298216,95.8633293184845,94.0294023247888,94.5603252823383,94.2895265175296
2024,Urbana,BOL,12.0547055071024,11.439212568514,11.7346745551505,2.69534719655614,52695.0,873.0,2996929.0,6372152.0,7566694.0,1140974.0,1194542.0,3375223.0,0.696407175974078,0.0115374032569574,15.0788970718256,15.7868416510566,2752193.0,2952005.0,5704198.0,2459533.0,2664054.0,5123587.0,1031708.0,1004432.0,2036140.0,99.0104618389771,96.315114642421,97.6155806653275,95.8315724991955,96.3678974783758,96.096142701386
2024,Rural,BOL,8.53309733731605,7.12628064738095,7.87017036459865,9.1180801801145,343251.0,12155.0,274941.0,1273451.0,3330522.0,1701665.0,2057071.0,998510.0,10.3062222678607,0.364957805413085,51.0930418715144,61.7642219447882,1298062.0,1159110.0,2457172.0,1177421.0,1049274.0,2226695.0,479397.0,447107.0,926504.0,96.0967966090988,86.9787164289843,91.7955682386093,90.1509604774331,90.4995895837015,90.3191999171078
